Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;0;0;1
0.0529;ARRIVAL;;1;2
0.0529;SERVICE;3;1;2
0.0531;LEAVE;0;0;1
0.1054;LEAVE;3;1;0
0.1273;ARRIVAL;;2;1
0.1273;SERVICE;0;2;1
0.1321;ARRIVAL;;3;2
0.1321;SERVICE;3;3;2
0.2491;LEAVE;3;3;1
0.2657;LEAVE;0;2;0
0.5078;ARRIVAL;;4;1
0.5078;SERVICE;2;4;1
0.5527;ARRIVAL;;5;2
0.5527;SERVICE;3;5;2
0.5691;LEAVE;3;5;1
0.6863;ARRIVAL;;6;2
0.6863;SERVICE;3;6;2
0.6997;LEAVE;3;6;1
0.7034;LEAVE;2;4;0
0.8228;ARRIVAL;;7;1
0.8228;SERVICE;1;7;1
0.8781;ARRIVAL;;8;2
0.8781;SERVICE;2;8;2
0.8891;LEAVE;1;7;1
0.9348;ARRIVAL;;9;2
0.9348;SERVICE;3;9;2
0.9768;ARRIVAL;;10;3
0.9768;SERVICE;1;10;3
1.0443;ARRIVAL;;11;4
1.0443;SERVICE;0;11;4
1.0504;LEAVE;2;8;3
1.0526;ARRIVAL;;12;4
1.0526;SERVICE;2;12;4
1.0906;LEAVE;3;9;3
1.1248;LEAVE;2;12;2
1.1504;LEAVE;0;11;1
1.1629;ARRIVAL;;13;2
1.1629;SERVICE;3;13;2
1.2161;ARRIVAL;;14;3
1.2161;SERVICE;0;14;3
1.2302;LEAVE;0;14;2
1.2569;ARRIVAL;;15;3
1.2569;SERVICE;2;15;3
1.2717;LEAVE;1;10;2
1.3345;LEAVE;3;13;1
1.6033;LEAVE;2;15;0
1.665;ARRIVAL;;16;1
1.665;SERVICE;0;16;1
1.7737;ARRIVAL;;17;2
1.7737;SERVICE;3;17;2
1.7748;LEAVE;0;16;1
1.7886;ARRIVAL;;18;2
1.7886;SERVICE;1;18;2
1.8246;LEAVE;3;17;1
1.8707;ARRIVAL;;19;2
1.8707;SERVICE;3;19;2
1.8834;LEAVE;3;19;1
1.9155;LEAVE;1;18;0
1.9489;ARRIVAL;;20;1
1.9489;SERVICE;2;20;1
2.0643;LEAVE;2;20;0
2.2069;ARRIVAL;;21;1
2.2069;SERVICE;2;21;1
2.2469;LEAVE;2;21;0
2.4232;ARRIVAL;;22;1
2.4232;SERVICE;0;22;1
2.5194;ARRIVAL;;23;2
2.5194;SERVICE;1;23;2
