Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;1;0;1
0.0261;LEAVE;1;0;0
0.0875;ARRIVAL;;1;1
0.0875;SERVICE;1;1;1
0.1235;LEAVE;1;1;0
0.2064;ARRIVAL;;2;1
0.2064;SERVICE;2;2;1
0.2144;LEAVE;2;2;0
0.246;ARRIVAL;;3;1
0.246;SERVICE;1;3;1
0.2914;LEAVE;1;3;0
0.3419;ARRIVAL;;4;1
0.3419;SERVICE;2;4;1
0.3527;LEAVE;2;4;0
0.6742;ARRIVAL;;5;1
0.6742;SERVICE;2;5;1
0.7057;ARRIVAL;;6;2
0.7057;SERVICE;0;6;2
0.7212;ARRIVAL;;7;3
0.7212;SERVICE;1;7;3
0.7381;LEAVE;2;5;2
0.7693;LEAVE;1;7;1
0.7754;ARRIVAL;;8;2
0.7754;SERVICE;2;8;2
0.7907;ARRIVAL;;9;3
0.7907;SERVICE;1;9;3
0.8059;LEAVE;1;9;2
0.8259;ARRIVAL;;10;3
0.8259;SERVICE;1;10;3
0.857;LEAVE;1;10;2
0.9248;LEAVE;2;8;1
0.9336;ARRIVAL;;11;2
0.9336;SERVICE;1;11;2
0.9538;LEAVE;0;6;1
0.9605;LEAVE;1;11;0
1.0577;ARRIVAL;;12;1
1.0577;SERVICE;1;12;1
1.1319;ARRIVAL;;13;2
1.1319;SERVICE;0;13;2
1.1383;LEAVE;1;12;1
1.1687;LEAVE;0;13;0
1.1791;ARRIVAL;;14;1
1.1791;SERVICE;0;14;1
1.2259;ARRIVAL;;15;2
1.2259;SERVICE;1;15;2
1.2453;LEAVE;0;14;1
1.3392;LEAVE;1;15;0
1.3425;ARRIVAL;;16;1
1.3425;SERVICE;0;16;1
1.3485;ARRIVAL;;17;2
1.3485;SERVICE;1;17;2
1.3524;LEAVE;0;16;1
1.4079;ARRIVAL;;18;2
1.4079;SERVICE;0;18;2
1.4385;ARRIVAL;;19;3
1.4385;SERVICE;2;19;3
1.4428;LEAVE;0;18;2
1.4695;LEAVE;2;19;1
1.4987;ARRIVAL;;20;2
1.4987;SERVICE;0;20;2
1.5704;ARRIVAL;;21;3
1.5704;SERVICE;2;21;3
1.5911;LEAVE;0;20;2
1.6186;ARRIVAL;;22;3
1.6186;SERVICE;0;22;3
1.64;LEAVE;2;21;2
1.653;LEAVE;1;17;1
1.6576;LEAVE;0;22;0
1.7456;ARRIVAL;;23;1
1.7456;SERVICE;0;23;1
1.7633;LEAVE;0;23;0
1.8232;ARRIVAL;;24;1
1.8232;SERVICE;1;24;1
1.8453;ARRIVAL;;25;2
1.8453;SERVICE;0;25;2
1.8572;ARRIVAL;;26;3
1.8572;SERVICE;2;26;3
1.9394;LEAVE;2;26;2
1.9799;LEAVE;0;25;1
2.2835;ARRIVAL;;27;2
2.2835;SERVICE;2;27;2
2.2978;LEAVE;2;27;1
2.3773;LEAVE;1;24;0
2.4981;ARRIVAL;;28;1
2.4981;SERVICE;2;28;1
2.4989;ARRIVAL;;29;2
2.4989;SERVICE;1;29;2
2.5478;LEAVE;2;28;1
2.5607;LEAVE;1;29;0
2.6614;ARRIVAL;;30;1
2.6614;SERVICE;1;30;1
2.7132;ARRIVAL;;31;2
2.7132;SERVICE;0;31;2
2.7499;LEAVE;1;30;1
2.8218;LEAVE;0;31;0
3.4572;ARRIVAL;;32;1
3.4572;SERVICE;2;32;1
3.4788;LEAVE;2;32;0
3.5102;ARRIVAL;;33;1
3.5102;SERVICE;2;33;1
3.5447;LEAVE;2;33;0
3.6454;ARRIVAL;;34;1
3.6454;SERVICE;1;34;1
3.6612;LEAVE;1;34;0
3.6636;ARRIVAL;;35;1
3.6636;SERVICE;0;35;1
3.8012;LEAVE;0;35;0
3.8247;ARRIVAL;;36;1
3.8247;SERVICE;0;36;1
