Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;3;0;1
0.0039;ARRIVAL;;1;2
0.0039;SERVICE;0;1;2
0.1032;ARRIVAL;;2;3
0.1032;SERVICE;4;2;3
0.2105;LEAVE;0;1;2
0.2246;LEAVE;4;2;1
0.2415;ARRIVAL;;3;2
0.2415;SERVICE;1;3;2
0.361;LEAVE;3;0;1
0.4128;LEAVE;1;3;0
0.4611;ARRIVAL;;4;1
0.4611;SERVICE;2;4;1
0.7139;LEAVE;2;4;0
0.7653;ARRIVAL;;5;1
0.7653;SERVICE;4;5;1
0.8912;ARRIVAL;;6;2
0.8912;SERVICE;2;6;2
0.9008;ARRIVAL;;7;3
0.9008;SERVICE;0;7;3
0.9091;LEAVE;2;6;2
0.9617;ARRIVAL;;8;3
0.9617;SERVICE;3;8;3
0.9662;ARRIVAL;;9;4
0.9662;SERVICE;1;9;4
0.9737;LEAVE;1;9;3
1.0316;ARRIVAL;;10;4
1.0316;SERVICE;1;10;4
1.0987;LEAVE;0;7;3
1.1493;ARRIVAL;;11;4
1.1493;SERVICE;2;11;4
1.1921;LEAVE;4;5;3
1.1975;LEAVE;2;11;2
1.3984;ARRIVAL;;12;3
1.3984;SERVICE;2;12;3
1.4111;LEAVE;1;10;2
1.4155;LEAVE;3;8;1
1.4172;ARRIVAL;;13;2
1.4172;SERVICE;1;13;2
1.4513;ARRIVAL;;14;3
1.4513;SERVICE;3;14;3
1.4667;LEAVE;3;14;2
1.5204;LEAVE;2;12;1
1.5988;LEAVE;1;13;0
1.7469;ARRIVAL;;15;1
1.7469;SERVICE;3;15;1
2.0441;LEAVE;3;15;0
2.3366;ARRIVAL;;16;1
2.3366;SERVICE;3;16;1
2.3712;ARRIVAL;;17;2
2.3712;SERVICE;2;17;2
2.3895;ARRIVAL;;18;3
2.3895;SERVICE;1;18;3
2.4251;ARRIVAL;;19;4
2.4251;SERVICE;0;19;4
2.4744;LEAVE;1;18;3
2.4764;LEAVE;0;19;2
2.4838;LEAVE;3;16;1
2.5151;ARRIVAL;;20;2
2.5151;SERVICE;3;20;2
2.6362;LEAVE;2;17;1
2.777;LEAVE;3;20;0
3.3757;ARRIVAL;;21;1
3.3757;SERVICE;2;21;1
3.5941;LEAVE;2;21;0
3.6421;ARRIVAL;;22;1
3.6421;SERVICE;2;22;1
3.9548;ARRIVAL;;23;2
3.9548;SERVICE;0;23;2
3.9586;LEAVE;0;23;1
4.1282;ARRIVAL;;24;2
4.1282;SERVICE;1;24;2
4.1439;ARRIVAL;;25;3
4.1439;SERVICE;4;25;3
4.173;LEAVE;2;22;2
4.3229;LEAVE;1;24;1
4.5491;ARRIVAL;;26;2
4.5491;SERVICE;0;26;2
4.5536;LEAVE;4;25;1
4.5628;LEAVE;0;26;0
4.7423;ARRIVAL;;27;1
4.7423;SERVICE;2;27;1
4.9418;LEAVE;2;27;0
5.4825;ARRIVAL;;28;1
5.4825;SERVICE;2;28;1
6.191;ARRIVAL;;29;2
6.191;SERVICE;1;29;2
6.4015;LEAVE;1;29;1
6.4338;ARRIVAL;;30;2
6.4338;SERVICE;4;30;2
6.4654;LEAVE;4;30;1
6.5089;LEAVE;2;28;0
6.5734;ARRIVAL;;31;1
6.5734;SERVICE;4;31;1
6.5766;LEAVE;4;31;0
6.712;ARRIVAL;;32;1
6.712;SERVICE;4;32;1
6.7672;ARRIVAL;;33;2
6.7672;SERVICE;3;33;2
6.8095;ARRIVAL;;34;3
6.8095;SERVICE;0;34;3
6.876;LEAVE;3;33;2
6.8824;ARRIVAL;;35;3
6.8824;SERVICE;1;35;3
6.9041;LEAVE;4;32;2
7.0859;LEAVE;0;34;1
7.2629;LEAVE;1;35;0
7.2983;ARRIVAL;;36;1
7.2983;SERVICE;1;36;1
7.3065;LEAVE;1;36;0
7.3944;ARRIVAL;;37;1
7.3944;SERVICE;0;37;1
7.7873;ARRIVAL;;38;2
7.7873;SERVICE;2;38;2
7.9174;ARRIVAL;;39;3
7.9174;SERVICE;3;39;3
7.9185;LEAVE;2;38;2
7.9313;LEAVE;0;37;1
8.0039;ARRIVAL;;40;2
8.0039;SERVICE;4;40;2
8.0926;ARRIVAL;;41;3
8.0926;SERVICE;0;41;3
8.1531;LEAVE;3;39;2
8.1896;LEAVE;0;41;1
8.1925;ARRIVAL;;42;2
8.1925;SERVICE;3;42;2
8.2006;LEAVE;3;42;1
8.2839;LEAVE;4;40;0
8.3458;ARRIVAL;;43;1
8.3458;SERVICE;4;43;1
8.3612;ARRIVAL;;44;2
8.3612;SERVICE;1;44;2
8.3906;LEAVE;4;43;1
8.4245;LEAVE;1;44;0
8.6681;ARRIVAL;;45;1
8.6681;SERVICE;0;45;1
8.7241;ARRIVAL;;46;2
8.7241;SERVICE;4;46;2
8.7803;ARRIVAL;;47;3
8.7803;SERVICE;3;47;3
8.9464;LEAVE;0;45;2
9.1;ARRIVAL;;48;3
9.1;SERVICE;2;48;3
9.1709;LEAVE;4;46;2
9.3079;LEAVE;2;48;1
9.5256;ARRIVAL;;49;2
9.5256;SERVICE;0;49;2
9.7211;LEAVE;3;47;1
9.7726;ARRIVAL;;50;2
9.7726;SERVICE;4;50;2
9.9928;ARRIVAL;;51;3
9.9928;SERVICE;3;51;3
