Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;1;0;1
0.0407;ARRIVAL;;1;2
0.0407;SERVICE;0;1;2
0.0767;ARRIVAL;;2;3
0.0767;SERVICE;2;2;3
0.0801;LEAVE;2;2;2
0.1034;LEAVE;1;0;1
0.1464;ARRIVAL;;3;2
0.1464;SERVICE;1;3;2
0.1701;ARRIVAL;;4;3
0.1701;SERVICE;2;4;3
0.2753;LEAVE;1;3;2
0.2868;LEAVE;2;4;1
0.368;LEAVE;0;1;0
0.406;ARRIVAL;;5;1
0.406;SERVICE;1;5;1
0.577;LEAVE;1;5;0
0.6131;ARRIVAL;;6;1
0.6131;SERVICE;3;6;1
0.6484;ARRIVAL;;7;2
0.6484;SERVICE;0;7;2
0.837;LEAVE;0;7;1
0.8816;LEAVE;3;6;0
0.9939;ARRIVAL;;8;1
0.9939;SERVICE;2;8;1
1.4249;LEAVE;2;8;0
1.6664;ARRIVAL;;9;1
1.6664;SERVICE;1;9;1
1.7828;LEAVE;1;9;0
1.7885;ARRIVAL;;10;1
1.7885;SERVICE;2;10;1
1.8141;LEAVE;2;10;0
2.3102;ARRIVAL;;11;1
2.3102;SERVICE;3;11;1
2.7436;ARRIVAL;;12;2
2.7436;SERVICE;0;12;2
2.7793;LEAVE;3;11;1
2.911;ARRIVAL;;13;2
2.911;SERVICE;3;13;2
2.9759;LEAVE;0;12;1
3.2983;ARRIVAL;;14;2
3.2983;SERVICE;1;14;2
3.3083;LEAVE;3;13;1
3.3274;ARRIVAL;;15;2
3.3274;SERVICE;3;15;2
3.4787;LEAVE;3;15;1
4.1874;ARRIVAL;;16;2
4.1874;SERVICE;2;16;2
4.3295;ARRIVAL;;17;3
4.3295;SERVICE;3;17;3
4.367;ARRIVAL;;18;4
4.367;SERVICE;0;18;4
4.3809;LEAVE;2;16;3
4.3953;LEAVE;0;18;2
4.4029;LEAVE;3;17;1
4.4379;ARRIVAL;;19;2
4.4379;SERVICE;2;19;2
4.5418;ARRIVAL;;20;3
4.5418;SERVICE;3;20;3
4.579;LEAVE;3;20;2
4.6472;LEAVE;2;19;1
4.7862;ARRIVAL;;21;2
4.7862;SERVICE;2;21;2
4.8044;LEAVE;1;14;1
4.8478;ARRIVAL;;22;2
4.8478;SERVICE;1;22;2
4.8574;LEAVE;2;21;1
4.9153;LEAVE;1;22;0
5.0284;ARRIVAL;;23;1
5.0284;SERVICE;2;23;1
5.0973;LEAVE;2;23;0
5.1021;ARRIVAL;;24;1
5.1021;SERVICE;1;24;1
5.1563;ARRIVAL;;25;2
5.1563;SERVICE;3;25;2
5.1898;LEAVE;3;25;1
5.2245;ARRIVAL;;26;2
5.2245;SERVICE;2;26;2
5.3887;ARRIVAL;;27;3
5.3887;SERVICE;3;27;3
5.4491;ARRIVAL;;28;4
5.4491;SERVICE;0;28;4
5.4752;LEAVE;1;24;3
5.5072;LEAVE;3;27;2
5.6286;ARRIVAL;;29;3
5.6286;SERVICE;1;29;3
5.642;LEAVE;0;28;2
5.6502;LEAVE;2;26;1
5.7763;LEAVE;1;29;0
5.7764;ARRIVAL;;30;1
5.7764;SERVICE;0;30;1
5.8783;LEAVE;0;30;0
5.9443;ARRIVAL;;31;1
5.9443;SERVICE;2;31;1
5.9843;ARRIVAL;;32;2
5.9843;SERVICE;3;32;2
5.9995;ARRIVAL;;33;3
5.9995;SERVICE;1;33;3
6.0587;LEAVE;2;31;2
6.1754;LEAVE;3;32;1
6.2086;ARRIVAL;;34;2
6.2086;SERVICE;3;34;2
6.399;LEAVE;1;33;1
6.5045;ARRIVAL;;35;2
6.5045;SERVICE;0;35;2
6.5099;LEAVE;3;34;1
6.5907;ARRIVAL;;36;2
6.5907;SERVICE;1;36;2
6.6051;LEAVE;0;35;1
