Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;2;0;1
0.003;ARRIVAL;;1;2
0.003;SERVICE;3;1;2
0.0892;ARRIVAL;;2;3
0.0892;SERVICE;4;2;3
0.0942;LEAVE;2;0;2
0.192;LEAVE;4;2;1
0.2465;LEAVE;3;1;0
0.3682;ARRIVAL;;3;1
0.3682;SERVICE;0;3;1
0.4244;LEAVE;0;3;0
1.2655;ARRIVAL;;4;1
1.2655;SERVICE;2;4;1
1.2702;LEAVE;2;4;0
1.7015;ARRIVAL;;5;1
1.7015;SERVICE;3;5;1
1.7179;ARRIVAL;;6;2
1.7179;SERVICE;0;6;2
1.7655;LEAVE;0;6;1
1.8524;LEAVE;3;5;0
1.9005;ARRIVAL;;7;1
1.9005;SERVICE;1;7;1
2.0024;ARRIVAL;;8;2
2.0024;SERVICE;2;8;2
2.1667;ARRIVAL;;9;3
2.1667;SERVICE;3;9;3
2.1667;LEAVE;1;7;2
2.1672;LEAVE;3;9;1
2.3532;ARRIVAL;;10;2
2.3532;SERVICE;3;10;2
2.3735;ARRIVAL;;11;3
2.3735;SERVICE;1;11;3
2.3965;LEAVE;1;11;2
2.4025;LEAVE;2;8;1
2.4164;ARRIVAL;;12;2
2.4164;SERVICE;4;12;2
2.5061;LEAVE;4;12;1
2.5209;ARRIVAL;;13;2
2.5209;SERVICE;4;13;2
2.5215;ARRIVAL;;14;3
2.5215;SERVICE;0;14;3
2.5382;LEAVE;3;10;2
2.6073;LEAVE;4;13;1
2.664;LEAVE;0;14;0
2.7982;ARRIVAL;;15;1
2.7982;SERVICE;0;15;1
2.8537;ARRIVAL;;16;2
2.8537;SERVICE;4;16;2
2.9403;LEAVE;0;15;1
2.9822;ARRIVAL;;17;2
2.9822;SERVICE;1;17;2
2.9896;LEAVE;4;16;1
3.0421;ARRIVAL;;18;2
3.0421;SERVICE;0;18;2
3.1307;ARRIVAL;;19;3
3.1307;SERVICE;4;19;3
3.2033;LEAVE;4;19;2
3.2309;LEAVE;1;17;1
3.3067;ARRIVAL;;20;2
3.3067;SERVICE;2;20;2
3.3181;ARRIVAL;;21;3
3.3181;SERVICE;4;21;3
3.3378;LEAVE;0;18;2
3.3724;LEAVE;2;20;1
3.4003;ARRIVAL;;22;2
3.4003;SERVICE;2;22;2
3.4313;ARRIVAL;;23;3
3.4313;SERVICE;1;23;3
3.499;ARRIVAL;;24;4
3.499;SERVICE;3;24;4
3.5295;ARRIVAL;;25;5
3.5295;SERVICE;0;25;5
3.5978;LEAVE;1;23;4
3.6268;LEAVE;0;25;3
3.6331;LEAVE;2;22;2
3.6885;ARRIVAL;;26;3
3.6885;SERVICE;1;26;3
3.6919;LEAVE;3;24;2
3.7407;LEAVE;1;26;1
3.827;ARRIVAL;;27;2
3.827;SERVICE;1;27;2
3.8521;LEAVE;4;21;1
3.9935;LEAVE;1;27;0
4.3308;ARRIVAL;;28;1
4.3308;SERVICE;4;28;1
4.3652;ARRIVAL;;29;2
4.3652;SERVICE;3;29;2
4.4929;LEAVE;4;28;1
4.657;LEAVE;3;29;0
4.7089;ARRIVAL;;30;1
4.7089;SERVICE;2;30;1
4.7387;ARRIVAL;;31;2
4.7387;SERVICE;0;31;2
4.8993;LEAVE;2;30;1
4.8999;ARRIVAL;;32;2
4.8999;SERVICE;1;32;2
4.918;ARRIVAL;;33;3
4.918;SERVICE;2;33;3
4.9527;LEAVE;0;31;2
5.0154;ARRIVAL;;34;3
5.0154;SERVICE;3;34;3
5.061;LEAVE;1;32;2
5.0944;ARRIVAL;;35;3
5.0944;SERVICE;0;35;3
5.1659;LEAVE;2;33;2
5.2034;ARRIVAL;;36;3
5.2034;SERVICE;2;36;3
5.2214;LEAVE;0;35;2
5.5188;LEAVE;2;36;1
5.8891;LEAVE;3;34;0
6.0448;ARRIVAL;;37;1
6.0448;SERVICE;3;37;1
6.0646;ARRIVAL;;38;2
6.0646;SERVICE;0;38;2
6.0804;LEAVE;0;38;1
6.0979;ARRIVAL;;39;2
6.0979;SERVICE;4;39;2
6.1359;LEAVE;4;39;1
6.1371;LEAVE;3;37;0
6.4386;ARRIVAL;;40;1
6.4386;SERVICE;4;40;1
6.5194;LEAVE;4;40;0
6.5651;ARRIVAL;;41;1
6.5651;SERVICE;4;41;1
6.6005;ARRIVAL;;42;2
6.6005;SERVICE;0;42;2
6.6178;LEAVE;4;41;1
6.7069;LEAVE;0;42;0
7.1096;ARRIVAL;;43;1
7.1096;SERVICE;0;43;1
7.1283;ARRIVAL;;44;2
7.1283;SERVICE;2;44;2
7.15;LEAVE;0;43;1
7.1726;ARRIVAL;;45;2
7.1726;SERVICE;0;45;2
7.2664;LEAVE;2;44;1
7.3389;ARRIVAL;;46;2
7.3389;SERVICE;1;46;2
7.3434;LEAVE;0;45;1
7.4195;ARRIVAL;;47;2
7.4195;SERVICE;2;47;2
7.4802;LEAVE;2;47;1
7.4991;LEAVE;1;46;0
7.5683;ARRIVAL;;48;1
7.5683;SERVICE;0;48;1
7.5783;LEAVE;0;48;0
7.8414;ARRIVAL;;49;1
7.8414;SERVICE;0;49;1
7.8946;ARRIVAL;;50;2
7.8946;SERVICE;3;50;2
7.9019;ARRIVAL;;51;3
7.9019;SERVICE;4;51;3
8.0041;LEAVE;0;49;2
8.0364;LEAVE;3;50;1
8.0545;LEAVE;4;51;0
8.2443;ARRIVAL;;52;1
8.2443;SERVICE;0;52;1
8.308;LEAVE;0;52;0
8.3189;ARRIVAL;;53;1
8.3189;SERVICE;4;53;1
8.3361;ARRIVAL;;54;2
8.3361;SERVICE;1;54;2
8.4633;LEAVE;1;54;1
8.5401;LEAVE;4;53;0
8.6145;ARRIVAL;;55;1
8.6145;SERVICE;2;55;1
8.6331;LEAVE;2;55;0
8.7233;ARRIVAL;;56;1
8.7233;SERVICE;3;56;1
8.7779;LEAVE;3;56;0
9.0853;ARRIVAL;;57;1
9.0853;SERVICE;0;57;1
9.2557;ARRIVAL;;58;2
9.2557;SERVICE;4;58;2
9.3278;ARRIVAL;;59;3
9.3278;SERVICE;1;59;3
9.3365;ARRIVAL;;60;4
9.3365;SERVICE;2;60;4
9.3854;LEAVE;0;57;3
9.4198;LEAVE;2;60;2
9.5059;ARRIVAL;;61;3
9.5059;SERVICE;0;61;3
9.5912;LEAVE;4;58;2
9.6136;ARRIVAL;;62;3
9.6136;SERVICE;3;62;3
9.6564;ARRIVAL;;63;4
9.6564;SERVICE;4;63;4
9.7002;ARRIVAL;;64;5
9.7002;SERVICE;2;64;5
9.7018;LEAVE;0;61;4
9.7335;LEAVE;3;62;3
9.7402;LEAVE;4;63;2
9.8155;LEAVE;2;64;1
9.8394;LEAVE;1;59;0
