Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;2;0;1
0.0165;ARRIVAL;;1;2
0.0165;SERVICE;3;1;2
0.0916;LEAVE;2;0;1
0.1062;ARRIVAL;;2;2
0.1062;SERVICE;0;2;2
0.1107;LEAVE;3;1;1
0.1926;ARRIVAL;;3;2
0.1926;SERVICE;1;3;2
0.2292;LEAVE;1;3;1
0.2902;ARRIVAL;;4;2
0.2902;SERVICE;3;4;2
0.3183;LEAVE;0;2;1
0.4272;ARRIVAL;;5;2
0.4272;SERVICE;0;5;2
0.5271;LEAVE;3;4;1
0.5931;ARRIVAL;;6;2
0.5931;SERVICE;2;6;2
0.6648;ARRIVAL;;7;3
0.6648;SERVICE;3;7;3
0.6869;LEAVE;0;5;2
0.6932;ARRIVAL;;8;3
0.6932;SERVICE;0;8;3
0.7361;LEAVE;0;8;2
0.7698;LEAVE;3;7;1
0.9229;LEAVE;2;6;0
0.9821;ARRIVAL;;9;1
0.9821;SERVICE;1;9;1
1.1118;ARRIVAL;;10;2
1.1118;SERVICE;2;10;2
1.1128;LEAVE;2;10;1
1.1948;ARRIVAL;;11;2
1.1948;SERVICE;2;11;2
1.2593;LEAVE;2;11;1
1.3689;ARRIVAL;;12;2
1.3689;SERVICE;2;12;2
1.3982;LEAVE;2;12;1
1.4488;ARRIVAL;;13;2
1.4488;SERVICE;2;13;2
1.4692;LEAVE;2;13;1
1.5697;LEAVE;1;9;0
1.6962;ARRIVAL;;14;1
1.6962;SERVICE;3;14;1
2.0307;ARRIVAL;;15;2
2.0307;SERVICE;2;15;2
2.0397;ARRIVAL;;16;3
2.0397;SERVICE;1;16;3
2.1288;LEAVE;1;16;2
2.2139;LEAVE;2;15;1
2.2591;ARRIVAL;;17;2
2.2591;SERVICE;0;17;2
2.2845;LEAVE;0;17;1
2.4485;ARRIVAL;;18;2
2.4485;SERVICE;0;18;2
2.5049;LEAVE;0;18;1
2.5576;ARRIVAL;;19;2
2.5576;SERVICE;0;19;2
2.7622;ARRIVAL;;20;3
2.7622;SERVICE;1;20;3
2.8003;LEAVE;0;19;2
2.8458;ARRIVAL;;21;3
2.8458;SERVICE;2;21;3
2.8817;LEAVE;3;14;2
2.942;LEAVE;1;20;1
2.9621;ARRIVAL;;22;2
2.9621;SERVICE;0;22;2
2.9692;ARRIVAL;;23;3
2.9692;SERVICE;3;23;3
2.9831;ARRIVAL;;24;4
2.9831;SERVICE;1;24;4
3.034;LEAVE;0;22;3
3.0506;ARRIVAL;;25;4
3.0506;SERVICE;0;25;4
3.087;LEAVE;1;24;3
3.0919;LEAVE;3;23;2
3.1019;ARRIVAL;;26;3
3.1019;SERVICE;3;26;3
3.1269;LEAVE;3;26;2
3.1571;ARRIVAL;;27;3
3.1571;SERVICE;3;27;3
3.2004;ARRIVAL;;28;4
3.2004;SERVICE;1;28;4
3.2224;LEAVE;3;27;3
3.2256;ARRIVAL;;29;4
3.2256;SERVICE;3;29;4
3.2632;LEAVE;0;25;3
3.431;LEAVE;2;21;2
3.6077;LEAVE;3;29;1
3.6287;LEAVE;1;28;0
3.794;ARRIVAL;;30;1
3.794;SERVICE;1;30;1
3.8063;LEAVE;1;30;0
3.9097;ARRIVAL;;31;1
3.9097;SERVICE;1;31;1
3.9194;LEAVE;1;31;0
4.043;ARRIVAL;;32;1
4.043;SERVICE;3;32;1
4.0791;ARRIVAL;;33;2
4.0791;SERVICE;0;33;2
4.17;ARRIVAL;;34;3
4.17;SERVICE;1;34;3
4.2224;ARRIVAL;;35;4
4.2224;SERVICE;2;35;4
4.3115;LEAVE;1;34;3
4.3996;ARRIVAL;;36;4
4.3996;SERVICE;1;36;4
4.4145;LEAVE;3;32;3
4.4511;LEAVE;2;35;2
4.4601;LEAVE;0;33;1
4.5685;LEAVE;1;36;0
4.5816;ARRIVAL;;37;1
4.5816;SERVICE;2;37;1
4.6496;ARRIVAL;;38;2
4.6496;SERVICE;0;38;2
4.7212;LEAVE;0;38;1
4.7982;LEAVE;2;37;0
4.8245;ARRIVAL;;39;1
4.8245;SERVICE;0;39;1
4.8301;LEAVE;0;39;0
4.9954;ARRIVAL;;40;1
4.9954;SERVICE;1;40;1
5.0023;ARRIVAL;;41;2
5.0023;SERVICE;0;41;2
5.0426;ARRIVAL;;42;3
5.0426;SERVICE;3;42;3
5.1577;ARRIVAL;;43;4
5.1577;SERVICE;2;43;4
5.2838;LEAVE;3;42;3
5.2928;LEAVE;0;41;2
5.339;ARRIVAL;;44;3
5.339;SERVICE;0;44;3
5.4723;LEAVE;1;40;2
5.4806;LEAVE;2;43;1
5.537;LEAVE;0;44;0
5.6096;ARRIVAL;;45;1
5.6096;SERVICE;2;45;1
5.7024;ARRIVAL;;46;2
5.7024;SERVICE;0;46;2
5.7228;LEAVE;0;46;1
5.7522;LEAVE;2;45;0
5.9276;ARRIVAL;;47;1
5.9276;SERVICE;0;47;1
6.0956;LEAVE;0;47;0
6.2689;ARRIVAL;;48;1
6.2689;SERVICE;3;48;1
6.2817;ARRIVAL;;49;2
6.2817;SERVICE;2;49;2
6.292;LEAVE;2;49;1
6.2977;ARRIVAL;;50;2
6.2977;SERVICE;2;50;2
6.3477;LEAVE;3;48;1
6.4564;ARRIVAL;;51;2
6.4564;SERVICE;0;51;2
6.5635;LEAVE;2;50;1
6.8178;ARRIVAL;;52;2
6.8178;SERVICE;3;52;2
6.8397;ARRIVAL;;53;3
6.8397;SERVICE;1;53;3
6.8503;ARRIVAL;;54;4
6.8503;SERVICE;2;54;4
6.8532;LEAVE;3;52;3
6.8699;LEAVE;1;53;2
6.8808;LEAVE;2;54;1
7.0148;ARRIVAL;;55;2
7.0148;SERVICE;2;55;2
7.0166;ARRIVAL;;56;3
7.0166;SERVICE;1;56;3
7.0336;ARRIVAL;;57;4
7.0336;SERVICE;3;57;4
7.1757;LEAVE;1;56;3
7.1862;LEAVE;2;55;2
7.1929;ARRIVAL;;58;3
7.1929;SERVICE;1;58;3
7.1997;ARRIVAL;;59;4
7.1997;SERVICE;2;59;4
7.2022;LEAVE;2;59;3
7.2147;ARRIVAL;;60;4
7.2147;SERVICE;2;60;4
7.2412;LEAVE;3;57;3
7.2666;ARRIVAL;;61;4
7.2666;SERVICE;3;61;4
7.358;LEAVE;2;60;3
7.3608;LEAVE;0;51;2
7.3971;LEAVE;3;61;1
7.4352;ARRIVAL;;62;2
7.4352;SERVICE;3;62;2
7.5575;LEAVE;1;58;1
7.7152;LEAVE;3;62;0
7.8518;ARRIVAL;;63;1
7.8518;SERVICE;0;63;1
7.8576;ARRIVAL;;64;2
7.8576;SERVICE;3;64;2
8.1181;LEAVE;3;64;1
8.1365;ARRIVAL;;65;2
8.1365;SERVICE;1;65;2
8.2421;LEAVE;0;63;1
8.3762;ARRIVAL;;66;2
8.3762;SERVICE;2;66;2
8.3768;ARRIVAL;;67;3
8.3768;SERVICE;0;67;3
8.4039;LEAVE;1;65;2
8.461;ARRIVAL;;68;3
8.461;SERVICE;3;68;3
8.4634;LEAVE;3;68;2
8.4786;LEAVE;0;67;1
8.4794;ARRIVAL;;69;2
8.4794;SERVICE;1;69;2
8.488;ARRIVAL;;70;3
8.488;SERVICE;0;70;3
8.5083;LEAVE;2;66;2
8.6237;LEAVE;1;69;1
8.7126;ARRIVAL;;71;2
8.7126;SERVICE;1;71;2
8.7161;ARRIVAL;;72;3
8.7161;SERVICE;2;72;3
8.7212;LEAVE;0;70;2
8.7328;LEAVE;1;71;1
8.7591;ARRIVAL;;73;2
